USN,LINE,WORKSTATION,STAGE,TRNDATA,TRNDATE,PASSCOUNT,RESULTFLAG,USERID,INSERTTIME,LINENO,VENDOR,A_ERRORCODE,AQM_ERRORCODE
USN000019,LINE003,WORKSTATION004,M4,USN000213,25-09-11 17:44:20,1,T,USER015,25-09-11 20:43:42,2,VENDOR5,,
USN000020,LINE001,WORKSTATION002,M4,USN000141,25-09-12 09:28:40,2,T,USER005,25-09-12 16:00:20,1,VENDOR5,,
USN000021,LINE005,WORKSTATION006,M4,USN000911,25-09-13 09:59:57,2,T,USER003,25-09-13 05:18:20,3,VENDOR2,K7970737,
USN000022,LINE002,WORKSTATION007,M5,USN000474,25-09-14 23:08:15,2,T,USER004,25-09-14 06:53:12,1,VENDOR5,,
USN000023,LINE003,WORKSTATION001,M5,USN000082,25-09-15 06:57:14,0,T,USER005,25-09-15 05:30:26,1,VENDOR5,,
USN000024,LINE002,WORKSTATION006,M1,USN000223,25-09-16 17:08:38,0,T,USER020,25-09-16 11:08:57,5,VENDOR4,,
USN000025,LINE001,WORKSTATION009,M3,USN000713,25-09-17 01:06:27,0,T,USER010,25-09-17 21:13:05,5,VENDOR5,,
USN000026,LINE002,WORKSTATION003,M4,USN000015,25-09-18 13:57:04,3,T,USER002,25-09-18 06:01:18,3,VENDOR4,,
USN000027,LINE003,WORKSTATION010,M1,USN000959,25-09-19 10:34:31,2,T,USER020,25-09-19 18:44:10,1,VENDOR5,,
USN000028,LINE003,WORKSTATION010,M4,USN000649,25-09-20 06:21:17,1,T,USER002,25-09-20 01:26:27,1,VENDOR2,,
USN000029,LINE003,WORKSTATION005,M1,USN000611,25-09-21 11:08:17,1,T,USER012,25-09-21 12:51:51,3,VENDOR2,,
USN000030,LINE004,WORKSTATION007,M2,USN000175,25-09-22 00:31:20,0,T,USER003,25-09-22 10:46:03,2,VENDOR1,,
USN000031,LINE002,WORKSTATION008,M1,USN000901,25-09-23 18:13:47,0,T,USER020,25-09-23 12:03:49,4,VENDOR1,,
USN000032,LINE001,WORKSTATION005,M2,USN000539,25-09-24 10:42:31,1,T,USER020,25-09-24 14:22:55,3,VENDOR2,,
USN000033,LINE003,WORKSTATION010,M3,USN000434,25-09-25 16:27:51,1,F,USER019,25-09-25 11:31:22,2,VENDOR2,K6720660,
USN000034,LINE005,WORKSTATION009,M2,USN000248,25-09-26 00:56:30,3,T,USER014,25-09-26 08:35:21,4,VENDOR2,,
USN000035,LINE002,WORKSTATION007,M3,USN000007,25-09-27 03:43:58,1,T,USER003,25-09-27 06:15:44,3,VENDOR3,,
USN000036,LINE005,WORKSTATION007,M4,USN000468,25-09-28 23:10:50,0,T,USER018,25-09-28 08:11:28,5,VENDOR5,,
USN000037,LINE005,WORKSTATION002,M4,USN000499,25-09-29 23:17:22,0,T,USER013,25-09-29 18:28:26,1,VENDOR1,,
USN000038,LINE001,WORKSTATION006,M1,USN000692,25-09-30 10:57:16,2,T,USER020,25-09-30 14:27:14,1,VENDOR2,,
USN000039,LINE004,WORKSTATION007,M3,USN000392,25-10-01 12:02:52,3,T,USER018,25-10-01 09:55:06,5,VENDOR4,,ERROR1
USN000040,LINE003,WORKSTATION005,M1,USN000208,25-10-02 23:47:35,0,T,USER007,25-10-02 22:52:02,2,VENDOR3,,
USN000041,LINE001,WORKSTATION010,M2,USN000871,25-10-03 07:52:24,1,T,USER010,25-10-03 14:04:26,5,VENDOR1,,
USN000042,LINE004,WORKSTATION003,M5,USN000578,25-10-04 18:57:02,2,T,USER014,25-10-04 02:37:21,5,VENDOR3,,
USN000043,LINE003,WORKSTATION006,M1,USN000470,25-10-05 11:13:16,3,T,USER015,25-10-05 21:38:29,3,VENDOR4,,
USN000044,LINE004,WORKSTATION006,M1,USN000153,25-10-06 11:01:08,3,T,USER001,25-10-06 01:55:40,2,VENDOR1,,
USN000045,LINE005,WORKSTATION009,M5,USN000729,25-10-07 14:30:53,1,T,USER018,25-10-07 01:13:09,2,VENDOR5,,
USN000046,LINE004,WORKSTATION005,M5,USN000633,25-10-08 20:26:57,3,T,USER007,25-10-08 03:06:02,3,VENDOR2,,
USN000047,LINE004,WORKSTATION006,M5,USN000642,25-10-09 03:39:59,2,T,USER002,25-10-09 00:50:05,2,VENDOR1,,
USN000048,LINE002,WORKSTATION005,M5,USN000764,25-10-10 02:12:50,1,F,USER007,25-10-10 00:04:17,1,VENDOR1,,
USN000049,LINE005,WORKSTATION002,M5,USN000265,25-10-11 12:20:14,0,T,USER013,25-10-11 00:55:51,5,VENDOR2,,
USN000050,LINE005,WORKSTATION004,M3,USN000559,25-10-12 01:01:29,0,T,USER006,25-10-12 18:16:53,2,VENDOR4,,
USN000051,LINE002,WORKSTATION001,M5,USN000990,25-10-13 02:25:19,3,F,USER009,25-10-13 13:40:22,1,VENDOR3,,
USN000052,LINE002,WORKSTATION005,M1,USN000776,25-10-14 15:31:04,2,T,USER017,25-10-14 01:39:27,3,VENDOR2,,
USN000053,LINE001,WORKSTATION002,M4,USN000933,25-10-15 00:26:49,0,T,USER018,25-10-15 09:49:00,4,VENDOR3,,
USN000054,LINE003,WORKSTATION005,M1,USN000986,25-10-16 21:02:05,0,T,USER013,25-10-16 21:27:20,1,VENDOR1,,
USN000055,LINE005,WORKSTATION008,M3,USN000023,25-10-17 17:23:24,0,F,USER014,25-10-17 13:02:36,2,VENDOR5,,
USN000056,LINE001,WORKSTATION007,M4,USN000239,25-10-18 00:59:22,2,F,USER007,25-10-18 11:52:29,1,VENDOR3,,
USN000057,LINE002,WORKSTATION006,M3,USN000034,25-10-19 18:36:16,0,T,USER008,25-10-19 10:45:44,5,VENDOR2,K3836846,
USN000058,LINE004,WORKSTATION001,M3,USN000416,25-10-20 03:10:14,1,T,USER014,25-10-20 05:32:04,3,VENDOR1,,
USN000059,LINE005,WORKSTATION009,M3,USN000871,25-10-21 01:03:03,2,T,USER002,25-10-21 21:16:55,2,VENDOR5,,
USN000060,LINE002,WORKSTATION007,M4,USN000884,25-10-22 04:27:24,0,T,USER012,25-10-22 04:07:15,5,VENDOR1,,
USN000061,LINE004,WORKSTATION005,M1,USN000032,25-10-23 09:09:34,2,T,USER005,25-10-23 09:22:08,4,VENDOR4,,
USN000062,LINE002,WORKSTATION002,M1,USN000485,25-10-24 00:55:02,3,T,USER001,25-10-24 01:25:10,5,VENDOR1,K4463836,
USN000063,LINE004,WORKSTATION009,M2,USN000019,25-10-25 03:17:08,1,T,USER008,25-10-25 21:46:07,5,VENDOR5,,
USN000064,LINE003,WORKSTATION007,M2,USN000556,25-10-26 17:36:34,3,T,USER016,25-10-26 15:43:20,5,VENDOR4,,
USN000065,LINE004,WORKSTATION004,M4,USN000785,25-10-27 09:40:44,1,T,USER020,25-10-27 11:55:19,1,VENDOR5,,ERROR5
USN000066,LINE003,WORKSTATION008,M2,USN000452,25-10-28 08:39:52,2,T,USER011,25-10-28 11:36:28,5,VENDOR2,,
USN000067,LINE004,WORKSTATION005,M1,USN000098,25-10-29 09:29:06,0,T,USER020,25-10-29 08:35:44,3,VENDOR2,,
USN000068,LINE005,WORKSTATION010,M5,USN000419,25-10-30 18:08:41,0,T,USER003,25-10-30 12:25:08,2,VENDOR4,,
USN000069,LINE002,WORKSTATION003,M3,USN000561,25-10-31 20:31:32,3,T,USER016,25-10-31 03:33:39,3,VENDOR1,,
USN000070,LINE004,WORKSTATION002,M3,USN000240,25-11-01 01:07:35,3,T,USER006,25-11-01 05:43:15,4,VENDOR1,,
USN000071,LINE003,WORKSTATION008,M1,USN000585,25-11-02 18:18:16,1,T,USER003,25-11-02 14:19:31,3,VENDOR1,K5150060,
USN000072,LINE005,WORKSTATION003,M2,USN000651,25-11-03 10:55:52,1,T,USER004,25-11-03 07:06:14,3,VENDOR3,,ERROR5
USN000073,LINE004,WORKSTATION008,M2,USN000006,25-11-04 05:40:40,3,T,USER006,25-11-04 03:53:33,4,VENDOR5,,
USN000074,LINE003,WORKSTATION002,M4,USN000641,25-11-05 13:52:43,1,T,USER016,25-11-05 12:09:03,5,VENDOR4,K2943848,
USN000075,LINE004,WORKSTATION007,M4,USN000916,25-11-06 20:22:41,1,T,USER014,25-11-06 16:51:20,2,VENDOR4,,
USN000076,LINE005,WORKSTATION008,M1,USN000232,25-11-07 15:04:12,2,T,USER001,25-11-07 22:50:19,5,VENDOR2,,ERROR5
USN000077,LINE004,WORKSTATION007,M2,USN000441,25-11-08 08:06:40,0,T,USER006,25-11-08 04:40:32,1,VENDOR4,,
USN000078,LINE003,WORKSTATION005,M5,USN000643,25-11-09 18:16:58,1,T,USER015,25-11-09 23:24:12,2,VENDOR4,,
USN000079,LINE003,WORKSTATION009,M3,USN000348,25-11-10 23:47:34,0,T,USER012,25-11-10 09:24:17,2,VENDOR4,,
USN000080,LINE001,WORKSTATION005,M1,USN000486,25-11-11 05:01:02,2,T,USER002,25-11-11 12:33:46,4,VENDOR4,,
USN000081,LINE004,WORKSTATION009,M1,USN000912,25-11-12 19:07:17,2,T,USER013,25-11-12 14:34:01,1,VENDOR2,,
USN000082,LINE003,WORKSTATION005,M1,USN000299,25-11-13 20:47:07,2,T,USER013,25-11-13 15:16:11,5,VENDOR2,,
USN000083,LINE001,WORKSTATION001,M3,USN000207,25-11-14 16:36:14,1,T,USER003,25-11-14 20:10:46,5,VENDOR5,,
USN000084,LINE001,WORKSTATION008,M5,USN000624,25-11-15 15:25:17,1,T,USER002,25-11-15 13:01:15,2,VENDOR4,,
USN000085,LINE005,WORKSTATION006,M1,USN000132,25-11-16 11:21:02,0,T,USER015,25-11-16 20:14:14,1,VENDOR3,,
USN000086,LINE004,WORKSTATION006,M1,USN000235,25-11-17 15:04:19,1,T,USER014,25-11-17 01:55:04,2,VENDOR3,,
USN000087,LINE002,WORKSTATION002,M3,USN000582,25-11-18 22:44:13,0,F,USER011,25-11-18 08:23:51,3,VENDOR2,,
USN000088,LINE001,WORKSTATION007,M5,USN000333,25-11-19 14:39:26,2,T,USER019,25-11-19 09:19:41,3,VENDOR2,,
USN000089,LINE003,WORKSTATION001,M1,USN000706,25-11-20 17:31:25,3,T,USER001,25-11-20 00:43:58,2,VENDOR5,K2198908,
USN000090,LINE003,WORKSTATION006,M1,USN000944,25-11-21 06:46:21,2,T,USER001,25-11-21 05:53:53,4,VENDOR1,,
USN000091,LINE001,WORKSTATION002,M3,USN000712,25-11-22 01:40:34,2,F,USER009,25-11-22 08:32:43,5,VENDOR4,,
USN000092,LINE003,WORKSTATION003,M4,USN000510,25-11-23 08:49:20,1,T,USER015,25-11-23 14:00:32,1,VENDOR3,K4669789,
USN000093,LINE002,WORKSTATION004,M5,USN000060,25-11-24 04:21:53,1,T,USER019,25-11-24 00:16:20,5,VENDOR4,K5230611,
USN000094,LINE004,WORKSTATION007,M3,USN000090,25-11-25 05:40:43,3,T,USER003,25-11-25 23:21:48,3,VENDOR2,,
USN000095,LINE002,WORKSTATION005,M4,USN000211,25-11-26 08:40:19,1,T,USER001,25-11-26 14:19:46,5,VENDOR2,K3019839,
USN000096,LINE005,WORKSTATION008,M3,USN000728,25-11-27 18:31:48,0,T,USER013,25-11-27 04:18:44,4,VENDOR3,,
USN000097,LINE003,WORKSTATION005,M4,USN000935,25-11-28 00:13:55,1,T,USER018,25-11-28 01:42:31,4,VENDOR3,,
USN000098,LINE005,WORKSTATION004,M2,USN000803,25-11-29 07:26:23,0,T,USER019,25-11-29 03:50:58,2,VENDOR2,K8210906,
USN000099,LINE001,WORKSTATION002,M3,USN000188,25-11-30 22:31:15,1,T,USER016,25-11-30 08:58:59,2,VENDOR5,,
USN000100,LINE003,WORKSTATION006,M3,USN000047,25-12-01 17:32:14,0,T,USER011,25-12-01 10:54:31,5,VENDOR5,,
USN000101,LINE004,WORKSTATION002,M4,USN000518,25-12-02 00:42:05,3,T,USER009,25-12-02 14:15:43,2,VENDOR4,,
USN000102,LINE002,WORKSTATION001,M1,USN000884,25-12-03 19:15:39,1,T,USER015,25-12-03 16:53:41,3,VENDOR5,,
USN000103,LINE001,WORKSTATION010,M2,USN000704,25-12-04 01:30:38,1,T,USER008,25-12-04 12:13:12,4,VENDOR2,,
USN000104,LINE001,WORKSTATION010,M1,USN000459,25-12-05 20:35:50,1,F,USER013,25-12-05 16:47:49,3,VENDOR2,,
USN000105,LINE005,WORKSTATION009,M2,USN000072,25-12-06 03:10:28,2,T,USER017,25-12-06 12:50:26,1,VENDOR3,,
USN000106,LINE004,WORKSTATION007,M1,USN000736,25-12-07 05:27:54,1,T,USER002,25-12-07 22:38:35,4,VENDOR4,,
USN000107,LINE004,WORKSTATION002,M3,USN000826,25-12-08 04:37:01,2,T,USER003,25-12-08 04:15:09,4,VENDOR1,,
USN000108,LINE001,WORKSTATION006,M1,USN000687,25-12-09 23:28:57,1,T,USER016,25-12-09 18:54:07,2,VENDOR1,,
USN000109,LINE004,WORKSTATION007,M2,USN000330,25-12-10 12:43:54,1,T,USER004,25-12-10 00:37:49,2,VENDOR3,,
USN000110,LINE002,WORKSTATION005,M1,USN000982,25-12-11 20:49:59,0,T,USER012,25-12-11 14:25:08,5,VENDOR2,,
USN000111,LINE001,WORKSTATION009,M2,USN000050,25-12-12 21:27:20,2,T,USER011,25-12-12 07:19:03,4,VENDOR1,,ERROR5
USN000112,LINE001,WORKSTATION001,M5,USN000854,25-12-13 05:33:07,3,T,USER008,25-12-13 16:32:40,1,VENDOR2,,
USN000113,LINE002,WORKSTATION010,M1,USN000008,25-12-14 07:07:27,2,T,USER015,25-12-14 07:18:30,4,VENDOR2,,
USN000114,LINE005,WORKSTATION009,M5,USN000453,25-12-15 16:03:20,3,T,USER002,25-12-15 18:51:18,2,VENDOR2,,
USN000115,LINE001,WORKSTATION004,M1,USN000390,25-12-16 23:11:10,0,T,USER011,25-12-16 03:10:50,1,VENDOR4,,
USN000116,LINE002,WORKSTATION006,M4,USN000038,25-12-17 15:12:50,1,T,USER001,25-12-17 18:20:36,5,VENDOR2,,
USN000117,LINE005,WORKSTATION009,M5,USN000119,25-12-18 23:28:05,1,T,USER011,25-12-18 13:05:22,1,VENDOR5,,
USN000118,LINE004,WORKSTATION007,M3,USN000340,25-12-19 01:55:20,2,T,USER017,25-12-19 00:41:26,3,VENDOR5,,ERROR5
USN000119,LINE002,WORKSTATION004,M3,USN000009,25-12-20 00:41:56,2,T,USER016,25-12-20 20:02:15,3,VENDOR1,,ERROR3
USN000120,LINE003,WORKSTATION006,M1,USN000945,25-12-21 08:23:26,1,T,USER020,25-12-21 21:07:09,3,VENDOR4,,
USN000121,LINE004,WORKSTATION009,M5,USN000737,25-12-22 18:49:08,0,T,USER012,25-12-22 06:14:41,2,VENDOR1,K0399575,ERROR5
USN000122,LINE005,WORKSTATION010,M3,USN000463,25-12-23 01:05:33,3,T,USER015,25-12-23 18:18:17,5,VENDOR5,,
USN000123,LINE002,WORKSTATION005,M2,USN000390,25-12-24 16:08:08,2,T,USER014,25-12-24 15:57:45,1,VENDOR2,,ERROR3
USN000124,LINE001,WORKSTATION008,M5,USN000190,25-12-25 13:51:25,3,T,USER015,25-12-25 00:56:09,5,VENDOR1,,ERROR5
USN000125,LINE001,WORKSTATION010,M5,USN000856,25-12-26 15:46:50,0,T,USER001,25-12-26 21:31:39,2,VENDOR5,,
USN000126,LINE005,WORKSTATION001,M5,USN000373,25-12-27 10:32:54,1,F,USER002,25-12-27 08:10:59,4,VENDOR1,,
USN000127,LINE004,WORKSTATION009,M4,USN000333,25-12-28 06:40:22,0,F,USER013,25-12-28 13:12:34,2,VENDOR2,,
USN000128,LINE001,WORKSTATION002,M2,USN000897,25-12-29 14:05:36,1,T,USER019,25-12-29 13:14:40,3,VENDOR4,,
USN000129,LINE003,WORKSTATION009,M5,USN000079,25-12-30 09:32:35,1,T,USER002,25-12-30 04:50:52,2,VENDOR5,,
USN000130,LINE004,WORKSTATION007,M2,USN000294,25-12-31 08:42:43,0,T,USER018,25-12-31 14:07:12,5,VENDOR1,,
USN000131,LINE004,WORKSTATION010,M4,USN000987,26-01-01 09:28:28,1,T,USER001,26-01-01 12:43:10,4,VENDOR3,,
USN000132,LINE002,WORKSTATION009,M4,USN000185,26-01-02 13:53:31,1,T,USER017,26-01-02 07:31:42,2,VENDOR5,K1809310,
USN000133,LINE002,WORKSTATION003,M4,USN000486,26-01-03 23:01:28,0,T,USER020,26-01-03 07:11:43,4,VENDOR5,,
USN000134,LINE004,WORKSTATION006,M3,USN000725,26-01-04 22:48:16,2,T,USER015,26-01-04 00:57:42,4,VENDOR1,,
USN000135,LINE003,WORKSTATION005,M3,USN000937,26-01-05 08:22:19,1,T,USER016,26-01-05 10:02:32,1,VENDOR2,,ERROR5
USN000136,LINE004,WORKSTATION007,M2,USN000715,26-01-06 01:15:13,2,F,USER003,26-01-06 02:21:06,2,VENDOR3,,
USN000137,LINE002,WORKSTATION005,M5,USN000146,26-01-07 13:44:03,2,F,USER007,26-01-07 12:03:18,2,VENDOR5,,
USN000138,LINE004,WORKSTATION004,M2,USN000211,26-01-08 17:59:19,2,T,USER015,26-01-08 17:33:36,2,VENDOR2,,
USN000139,LINE001,WORKSTATION006,M2,USN000569,26-01-09 20:20:32,2,T,USER002,26-01-09 16:56:37,3,VENDOR2,,
USN000140,LINE005,WORKSTATION003,M2,USN000740,26-01-10 07:22:28,2,T,USER005,26-01-10 05:20:02,3,VENDOR4,K7365411,ERROR1
USN000141,LINE005,WORKSTATION001,M3,USN000033,26-01-11 00:01:46,2,T,USER012,26-01-11 04:03:13,4,VENDOR3,,
USN000142,LINE004,WORKSTATION002,M2,USN000797,26-01-12 16:24:32,2,T,USER013,26-01-12 22:37:06,2,VENDOR2,,
USN000143,LINE003,WORKSTATION006,M2,USN000866,26-01-13 05:21:59,3,T,USER005,26-01-13 06:27:24,4,VENDOR5,K1124274,
USN000144,LINE002,WORKSTATION009,M3,USN000967,26-01-14 19:12:17,3,T,USER010,26-01-14 10:31:19,5,VENDOR4,,
USN000145,LINE004,WORKSTATION008,M4,USN000476,26-01-15 15:41:52,0,F,USER004,26-01-15 14:21:53,2,VENDOR2,,
USN000146,LINE001,WORKSTATION001,M2,USN000942,26-01-16 23:10:03,3,T,USER020,26-01-16 21:13:48,1,VENDOR4,,
USN000147,LINE003,WORKSTATION006,M4,USN000703,26-01-17 14:34:53,1,T,USER012,26-01-17 05:13:55,1,VENDOR3,,
USN000148,LINE001,WORKSTATION004,M4,USN000243,26-01-18 12:36:28,0,T,USER006,26-01-18 10:23:36,3,VENDOR2,,
USN000149,LINE002,WORKSTATION003,M4,USN000389,26-01-19 20:39:52,1,T,USER015,26-01-19 22:27:25,3,VENDOR3,,ERROR5
USN000150,LINE003,WORKSTATION003,M2,USN000901,26-01-20 13:08:47,1,T,USER004,26-01-20 06:09:42,4,VENDOR2,,
USN000151,LINE005,WORKSTATION010,M5,USN000340,26-01-21 06:35:41,0,F,USER012,26-01-21 17:22:34,2,VENDOR5,,
USN000152,LINE003,WORKSTATION010,M2,USN000039,26-01-22 10:57:54,1,T,USER012,26-01-22 22:04:50,3,VENDOR3,,
USN000153,LINE002,WORKSTATION004,M3,USN000460,26-01-23 00:04:29,0,T,USER005,26-01-23 18:14:20,1,VENDOR1,,
USN000154,LINE002,WORKSTATION001,M4,USN000929,26-01-24 08:26:26,2,T,USER018,26-01-24 06:51:58,2,VENDOR2,,
USN000155,LINE005,WORKSTATION008,M5,USN000521,26-01-25 18:11:25,1,T,USER008,26-01-25 07:32:46,2,VENDOR3,,
USN000156,LINE001,WORKSTATION003,M1,USN000017,26-01-26 01:33:44,1,T,USER012,26-01-26 02:52:41,5,VENDOR5,,
USN000157,LINE005,WORKSTATION002,M5,USN000809,26-01-27 20:51:24,1,T,USER002,26-01-27 08:30:24,1,VENDOR3,,
USN000158,LINE002,WORKSTATION004,M3,USN000509,26-01-28 22:42:40,2,T,USER009,26-01-28 09:27:28,1,VENDOR2,,
USN000159,LINE003,WORKSTATION007,M2,USN000676,26-01-29 02:55:20,2,T,USER004,26-01-29 02:12:01,3,VENDOR5,,
USN000160,LINE004,WORKSTATION009,M1,USN000472,26-01-30 13:45:13,3,T,USER017,26-01-30 04:13:19,4,VENDOR3,,
USN000161,LINE002,WORKSTATION008,M5,USN000835,26-01-31 20:02:50,3,T,USER007,26-01-31 21:39:02,5,VENDOR2,,
USN000162,LINE003,WORKSTATION003,M1,USN000783,26-02-01 09:57:06,2,T,USER002,26-02-01 21:43:51,3,VENDOR3,,
USN000163,LINE003,WORKSTATION002,M4,USN000403,26-02-02 21:00:37,1,T,USER017,26-02-02 19:42:03,4,VENDOR4,,
USN000164,LINE001,WORKSTATION003,M2,USN000873,26-02-03 15:12:19,1,F,USER014,26-02-03 08:33:37,5,VENDOR2,K7594277,
USN000165,LINE002,WORKSTATION001,M2,USN000876,26-02-04 12:41:31,1,T,USER004,26-02-04 21:03:05,1,VENDOR1,,
USN000166,LINE001,WORKSTATION006,M5,USN000111,26-02-05 16:57:54,2,T,USER010,26-02-05 06:17:28,2,VENDOR3,,
USN000167,LINE002,WORKSTATION008,M5,USN000809,26-02-06 07:20:36,3,F,USER005,26-02-06 07:53:33,2,VENDOR3,,
USN000168,LINE002,WORKSTATION003,M1,USN000883,26-02-07 16:58:19,2,T,USER004,26-02-07 01:22:11,5,VENDOR5,,
USN000169,LINE002,WORKSTATION008,M2,USN000525,26-02-08 03:10:20,1,T,USER015,26-02-08 14:26:49,5,VENDOR3,,
USN000170,LINE004,WORKSTATION008,M2,USN000774,26-02-09 12:57:40,1,T,USER004,26-02-09 06:58:20,2,VENDOR4,,
USN000171,LINE001,WORKSTATION002,M3,USN000768,26-02-10 08:40:58,0,T,USER013,26-02-10 18:07:40,3,VENDOR5,,ERROR3
USN000172,LINE002,WORKSTATION005,M4,USN000019,26-02-11 04:45:33,2,T,USER001,26-02-11 16:26:23,5,VENDOR1,,
USN000173,LINE005,WORKSTATION002,M5,USN000811,26-02-12 04:21:57,3,T,USER001,26-02-12 16:34:51,1,VENDOR5,,
USN000174,LINE005,WORKSTATION004,M1,USN000889,26-02-13 18:17:12,2,T,USER017,26-02-13 01:55:17,5,VENDOR3,,
USN000175,LINE003,WORKSTATION001,M2,USN000999,26-02-14 00:31:33,2,T,USER005,26-02-14 04:53:21,2,VENDOR3,,ERROR4
USN000176,LINE005,WORKSTATION006,M3,USN000979,26-02-15 02:04:22,1,T,USER019,26-02-15 20:47:21,5,VENDOR1,,
USN000177,LINE002,WORKSTATION004,M4,USN000169,26-02-16 04:35:11,0,T,USER008,26-02-16 16:55:30,5,VENDOR2,,
USN000178,LINE004,WORKSTATION006,M2,USN000712,26-02-17 17:46:57,0,F,USER012,26-02-17 18:57:09,2,VENDOR5,,
USN000179,LINE005,WORKSTATION006,M2,USN000014,26-02-18 16:14:20,2,T,USER003,26-02-18 19:35:15,1,VENDOR4,K2594143,
USN000180,LINE004,WORKSTATION009,M3,USN000610,26-02-19 11:46:14,0,F,USER015,26-02-19 20:11:47,5,VENDOR3,,
USN000181,LINE002,WORKSTATION003,M2,USN000716,26-02-20 17:13:53,3,T,USER006,26-02-20 18:39:55,3,VENDOR2,,
USN000182,LINE003,WORKSTATION010,M4,USN000296,26-02-21 16:56:02,2,T,USER001,26-02-21 14:55:29,2,VENDOR5,,
USN000183,LINE003,WORKSTATION004,M2,USN000355,26-02-22 02:17:56,2,T,USER020,26-02-22 20:43:37,5,VENDOR3,K9269406,
USN000184,LINE004,WORKSTATION008,M3,USN000666,26-02-23 12:41:51,2,T,USER008,26-02-23 23:43:45,1,VENDOR5,,
USN000185,LINE001,WORKSTATION010,M3,USN000320,26-02-24 20:38:34,2,T,USER013,26-02-24 22:21:41,4,VENDOR3,,
USN000186,LINE004,WORKSTATION007,M5,USN000598,26-02-25 07:34:47,3,T,USER013,26-02-25 19:02:09,5,VENDOR5,,
USN000187,LINE005,WORKSTATION003,M3,USN000153,26-02-26 17:54:43,1,T,USER013,26-02-26 04:31:42,3,VENDOR4,,
USN000188,LINE003,WORKSTATION007,M4,USN000359,26-02-27 10:11:49,0,T,USER019,26-02-27 22:59:03,2,VENDOR5,,
USN000189,LINE001,WORKSTATION004,M2,USN000513,26-02-28 08:41:13,2,T,USER008,26-02-28 20:05:24,2,VENDOR5,K8877489,
USN000190,LINE003,WORKSTATION009,M4,USN000027,26-03-01 03:09:32,0,T,USER010,26-03-01 18:51:49,1,VENDOR4,,
USN000191,LINE002,WORKSTATION002,M2,USN000435,26-03-02 14:59:00,3,T,USER012,26-03-02 23:08:59,5,VENDOR3,,
USN000192,LINE004,WORKSTATION010,M2,USN000478,26-03-03 07:04:44,0,T,USER020,26-03-03 21:48:37,3,VENDOR2,K2933476,
USN000193,LINE004,WORKSTATION004,M3,USN000390,26-03-04 17:46:41,1,T,USER017,26-03-04 16:29:37,2,VENDOR2,,
USN000194,LINE005,WORKSTATION009,M1,USN000394,26-03-05 17:35:32,3,F,USER017,26-03-05 11:36:36,5,VENDOR1,,
